Adult.history,Adult.treatment,Cross,Offspring.treatment,Tube.number,Tube.Date,Embryo.Sum,Sum.life.stage.1,Sum.life.stage.2,Sum.life.stage.4,Sum.life.stage.8,Sum.life.stage.8+,Sum.life.stage.1.percentage,Sum.life.stage.2.percentage,Sum.life.stage.4.percentage,Sum.life.stage.8.percentage,Sum.life.stage.8+.percentage
bleached,high,111*85,Low ,452,6/6/16,18,7,6,1,4,0,38.889,33.333,5.556,22.222,0
bleached,high,111*85,Low ,453,6/6/16,19,4,4,8,3,0,21.053,21.053,42.105,15.789,0
bleached,high,111*85,Low ,454,6/6/16,17,6,2,4,3,2,35.294,11.765,23.529,17.647,11.765
bleached,high,111*85,Amb ,604,6/6/16,22,6,5,7,4,0,27.273,22.727,31.818,18.182,0
bleached,high,111*85,Amb ,605,6/6/16,10,0,1,3,6,0,0,10,30,60,0
bleached,high,111*85,Amb ,606,6/6/16,9,1,0,2,6,0,11.111,0,22.222,66.667,0
bleached,high,41*71,Amb ,446,6/6/16,10,1,0,2,5,2,10,0,20,50,20
bleached,high,41*71,Amb ,447,6/6/16,18,0,1,7,5,5,0,5.556,38.889,27.778,27.778
bleached,high,41*71,Amb ,448,6/6/16,20,2,1,9,6,2,10,5,45,30,10
bleached,high,41*71,Low ,458,6/6/16,15,0,0,8,6,1,0,0,53.333,40,6.667
bleached,high,41*71,Low ,459,6/6/16,21,1,2,13,5,0,4.762,9.524,61.905,23.81,0
bleached,high,41*71,Low ,460,6/6/16,19,2,1,4,8,4,10.526,5.263,21.053,42.105,21.053
bleached,high,41*73,Amb ,228,6/5/16,21,3,0,6,11,1,14.286,0,28.571,52.381,4.762
bleached,high,41*73,Amb ,229,6/5/16,20,5,3,7,4,1,25,15,35,20,5
bleached,high,41*73,Amb ,230,6/5/16,18,3,4,5,5,1,16.667,22.222,27.778,27.778,5.556
bleached,high,41*73,Low ,234,6/5/16,22,5,3,8,5,1,22.727,13.636,36.364,22.727,4.545
bleached,high,41*73,Low ,235,6/5/16,23,12,5,2,4,0,52.174,21.739,8.696,17.391,0
bleached,high,41*73,Low ,236,6/5/16,22,1,7,10,4,0,4.545,31.818,45.455,18.182,0
bleached,high,71*41,Amb ,449,6/6/16,14,14,0,0,0,0,100,0,0,0,0
bleached,high,71*41,Amb ,450,6/6/16,13,10,2,1,0,0,76.923,15.385,7.692,0,0
bleached,high,71*41,Amb ,451,6/6/16,10,6,1,2,1,0,60,10,20,10,0
bleached,high,71*41,Low ,461,6/6/16,13,7,1,4,1,0,53.846,7.692,30.769,7.692,0
bleached,high,71*41,Low ,462,6/6/16,20,4,1,11,4,0,20,5,55,20,0
bleached,high,71*41,Low ,463,6/6/16,16,1,2,10,3,0,6.25,12.5,62.5,18.75,0
bleached,high,73*41,Amb ,222,6/5/16,21,5,4,8,3,1,23.81,19.048,38.095,14.286,4.762
bleached,high,73*41,Amb ,223,6/5/16,20,7,3,6,3,1,35,15,30,15,5
bleached,high,73*41,Amb ,224,6/5/16,21,6,3,6,2,4,28.571,14.286,28.571,9.524,19.048
bleached,high,73*41,Low ,240,6/5/16,21,6,4,11,0,0,28.571,19.048,52.381,0,0
bleached,high,73*41,Low ,241,6/5/16,18,6,5,5,2,0,33.333,27.778,27.778,11.111,0
bleached,high,73*41,Low ,242,6/5/16,21,7,10,4,0,0,33.333,47.619,19.048,0,0
bleached,high,85*111,Low ,455,6/6/16,9,0,1,7,1,0,0,11.111,77.778,11.111,0
bleached,high,85*111,Low ,456,6/6/16,14,1,3,6,4,0,7.143,21.429,42.857,28.571,0
bleached,high,85*111,Low ,457,6/6/16,16,2,1,5,6,2,12.5,6.25,31.25,37.5,12.5
bleached,high,85*111,Amb ,607,6/6/16,18,2,1,6,8,1,11.111,5.556,33.333,44.444,5.556
bleached,high,85*111,Amb ,608,6/6/16,13,2,1,5,5,0,15.385,7.692,38.462,38.462,0
bleached,high,85*111,Amb ,609,6/6/16,14,4,0,3,7,0,28.571,0,21.429,50,0